City Name,Population,Area (sq. km),Smart Infrastructure Score,Energy Consumption,Public Transport Usage,Air Quality Index,Education Index,Healthcare Index,Employment Rate,Smart Grid Adoption,Waste Management Score,Internet Speed (Mbps),Safety Index,Cost of Living Index
City51,422404,586.9,13.1,504.1,40.0,23.9,23.6,23.5,53.8,38.1,21.4,95.3,23.8,46.2
City52,156511,372.9,35.1,744.9,26.2,41.2,27.4,32.4,53.2,41.3,30.5,186.2,36.4,40.1
City53,104016,368.7,29.2,799.9,39.7,25.9,30.7,34.7,60.2,36.9,34.9,206.9,30.7,55.3
City54,631811,176.7,29.2,691.9,22.8,36.7,36.7,33.2,57.0,43.9,35.9,140.5,55.8,53.8
City55,1136426,56.8,58.1,442.7,46.1,33.1,40.7,45.2,72.3,37.8,32.7,253.9,68.3,63.0
City56,988350,63.7,39.4,612.5,42.6,38.3,36.9,20.3,53.9,48.3,16.8,194.5,41.2,64.5
City57,82875,573.2,60.7,604.8,55.2,56.2,52.1,58.1,67.7,54.5,62.5,284.7,34.2,86.0
City58,174050,250.5,56.6,423.2,66.5,43.9,53.8,52.0,66.4,54.6,53.4,268.7,70.0,65.1
City59,426671,207.2,35.7,428.8,46.7,50.5,31.6,37.0,64.1,37.4,37.7,247.3,43.3,70.7
City60,1051536,147.1,24.4,553.2,42.6,44.0,35.7,26.4,65.1,23.2,36.2,133.8,37.6,49.6
City61,137194,169.7,55.5,347.2,53.0,66.0,67.7,52.3,82.1,55.0,60.5,269.2,50.7,74.1
City62,206917,859.5,30.0,793.2,31.1,55.4,36.3,32.4,76.7,33.8,44.8,168.5,30.0,77.2
City63,57018,163.6,30.4,789.7,41.0,49.9,6.9,18.6,65.8,13.1,21.6,61.0,20.5,55.7
City64,50277,50.0,37.5,682.4,30.9,25.3,16.2,20.3,48.8,14.5,20.4,178.2,23.7,71.2
City65,836963,597.3,35.4,559.1,31.4,48.1,41.6,29.7,57.6,31.3,25.9,168.8,42.6,75.3
City66,1791808,191.4,44.0,450.5,42.5,49.0,28.6,36.0,49.9,28.3,29.5,126.5,35.1,54.9
City67,242604,254.1,21.2,535.3,39.4,46.9,32.1,16.7,55.4,35.3,29.3,174.4,45.9,58.2
City68,1093556,1684.3,25.0,460.1,57.5,39.1,29.2,28.5,58.2,33.3,34.6,263.8,34.9,71.2
City69,445205,238.7,34.4,832.8,32.4,38.9,33.3,25.2,66.6,10.9,26.2,135.6,46.4,60.2
City70,108752,346.2,41.1,727.5,36.5,45.2,40.8,45.1,63.1,28.8,35.7,186.4,36.2,77.3
City71,445055,59.5,34.7,548.5,36.0,59.3,39.2,33.6,54.5,36.1,37.3,159.7,55.7,71.5
City72,2311139,188.0,38.3,721.2,34.1,36.4,34.5,52.2,55.4,59.3,33.9,169.8,53.3,78.1
City73,255210,508.5,48.8,679.3,37.8,68.4,37.6,42.0,57.5,45.9,26.7,249.7,36.4,57.1
City74,2398852,50.0,64.8,444.7,56.6,60.0,53.7,65.7,68.7,58.4,54.6,254.2,41.9,55.3
City75,10000,311.4,48.2,381.5,55.5,52.2,48.2,43.8,79.3,40.7,39.0,306.5,61.4,52.0
City76,848023,276.2,46.1,404.0,57.7,59.7,43.4,53.1,68.3,58.5,66.1,249.4,47.7,66.1
City77,303114,257.1,44.9,618.5,57.9,40.7,45.0,50.5,63.1,31.0,51.1,251.7,27.2,53.9
City78,176555,849.5,42.8,531.3,56.6,38.3,46.8,44.6,56.5,42.8,50.4,279.1,44.9,69.8
City79,305121,365.5,59.3,360.1,42.5,56.4,45.0,52.2,73.3,45.4,52.5,264.9,53.8,82.9
City80,16604,1441.9,44.5,500.7,42.0,40.0,46.1,49.2,59.4,37.8,39.8,182.0,58.3,58.4
City81,197295,74.3,72.6,265.4,60.7,54.4,64.1,77.7,84.5,65.7,70.1,323.0,85.3,77.2
City82,442394,288.0,36.4,542.8,37.7,48.3,42.9,50.8,64.5,55.5,58.5,230.7,52.0,66.8
City83,2124509,270.8,7.5,560.3,26.9,26.5,20.6,11.4,52.3,5.8,17.3,97.0,22.8,37.8
City84,129887,67.8,18.6,614.8,23.2,52.2,21.1,29.1,57.1,25.8,35.9,109.3,28.5,46.8
City85,86518,770.9,35.5,435.5,38.6,47.3,46.1,45.9,67.4,30.9,58.1,200.2,41.3,74.0
City86,132924,3982.3,37.8,594.5,36.1,41.9,49.8,36.8,69.6,39.8,48.8,192.3,22.0,88.9
City87,966622,239.7,42.0,527.1,32.9,34.5,35.1,46.4,73.3,40.5,47.6,148.0,38.8,49.4
City88,425173,448.6,25.9,592.4,30.3,14.8,20.9,10.0,62.2,21.1,18.6,143.1,32.3,52.3
City89,127814,270.8,62.2,378.0,48.3,46.3,40.5,48.5,60.0,60.0,57.2,286.0,48.0,47.7
City90,550495,103.9,9.4,780.1,26.6,30.5,14.2,7.9,56.9,26.9,14.6,69.5,13.5,70.0
City91,307401,50.0,74.0,411.6,61.9,62.9,59.6,76.3,66.8,71.2,59.9,404.0,50.1,96.3
City92,1041427,104.9,27.3,542.0,35.0,54.4,22.7,33.6,57.8,26.8,35.7,209.8,51.9,59.8
City93,100420,50.0,46.7,403.6,49.7,44.7,43.2,39.0,70.6,39.0,56.1,311.0,29.4,69.6
City94,169612,1891.1,23.9,560.9,23.9,24.0,39.1,22.4,51.4,33.6,16.9,133.7,51.4,72.2
City95,154979,213.1,17.3,681.3,7.2,28.8,24.6,27.2,50.0,21.3,16.4,42.6,36.7,61.3
City96,34581,161.6,15.9,737.8,24.3,53.2,23.9,29.4,49.4,17.5,21.3,96.9,17.7,67.4
City97,406186,711.2,42.2,544.2,31.5,41.0,35.6,26.8,64.4,28.1,19.4,234.8,57.4,95.8
City98,386728,63.7,10.3,829.9,25.1,44.8,14.0,17.1,41.7,32.6,4.7,50.8,23.7,54.4
City99,270265,97.5,71.7,400.6,56.6,77.2,77.1,74.7,75.5,83.3,80.3,387.7,84.3,81.6
City100,193218,265.5,32.5,699.8,58.5,32.0,41.9,37.3,59.3,39.8,47.9,214.2,47.2,64.4
City101,36992,840.9,26.3,614.5,31.5,44.9,24.1,29.6,67.2,30.5,39.2,106.7,47.1,48.7
City102,148909,446.8,75.5,513.4,56.8,49.0,58.9,68.8,64.6,57.2,64.0,308.9,48.7,56.9
City103,166075,329.6,33.6,460.3,49.1,41.8,30.0,41.5,56.6,34.9,50.9,162.6,23.3,44.2
City104,87274,268.7,70.7,435.4,52.5,57.1,43.0,42.2,62.2,49.7,46.5,288.3,73.7,91.6
City105,214100,395.6,16.4,710.3,16.0,23.4,21.9,29.7,50.9,18.2,23.7,154.8,35.8,71.6
City106,472442,311.7,49.1,609.1,71.1,44.3,58.5,59.5,73.9,60.3,62.3,287.7,58.3,83.4
City107,3762748,71.1,20.7,811.1,46.5,50.8,14.7,26.7,47.0,17.2,40.8,131.2,11.6,72.5
City108,342630,258.6,36.2,474.5,26.2,62.5,31.1,27.4,55.8,29.2,20.9,187.8,28.2,58.7
City109,384835,67.5,52.8,424.4,41.8,51.0,43.3,46.9,60.4,37.6,40.8,204.8,48.0,60.2
City110,241778,269.7,73.2,315.2,67.2,49.5,69.5,63.5,80.1,52.7,72.9,270.6,52.5,73.3
City111,18282,137.4,38.7,486.1,39.1,37.8,38.8,40.3,69.5,41.9,59.5,235.4,38.7,46.3
City112,258559,5152.6,46.9,346.0,53.7,79.1,51.4,63.9,73.2,58.2,38.0,324.6,69.8,58.8
City113,291945,233.3,31.7,645.5,54.1,53.4,23.6,29.6,56.7,22.0,43.6,243.0,28.2,59.4
City114,8440389,50.0,55.4,444.4,51.1,58.3,57.4,54.4,79.8,60.7,68.1,295.5,76.7,75.9
City115,204985,208.3,42.3,429.8,45.6,37.4,45.3,51.7,64.8,43.3,61.6,247.7,30.4,71.9
City116,409284,456.3,25.4,684.6,36.7,30.0,28.1,17.7,62.1,25.3,13.4,98.4,34.9,46.1
City117,255608,1822.6,44.5,653.8,55.9,53.1,47.3,44.3,67.2,30.0,41.4,224.5,54.1,65.7
City118,52252,120.6,20.8,756.1,37.7,36.3,31.7,27.5,60.8,35.1,28.0,198.6,16.1,61.0
City119,1329019,50.0,57.9,559.1,43.7,41.1,35.6,44.1,55.0,39.3,29.5,268.4,44.8,70.7
City120,768892,652.1,70.8,455.9,64.6,73.5,62.7,75.8,71.6,61.8,73.9,382.7,67.6,74.0
City121,812153,50.0,64.1,556.0,51.3,43.6,38.5,51.7,73.9,41.0,49.2,264.0,39.2,86.5
City122,75121,145.0,45.0,422.1,60.9,53.4,45.7,38.1,64.5,56.8,54.0,216.3,44.3,56.4
City123,1912481,179.6,35.9,489.2,42.5,64.1,42.3,33.2,74.4,46.4,26.8,224.6,48.4,83.0
City124,37699,225.1,31.9,626.3,57.5,39.4,44.7,40.1,67.8,40.7,27.5,220.9,50.8,44.6
City125,610235,559.5,12.1,584.6,13.2,32.7,16.5,18.0,63.6,24.1,26.1,75.2,12.8,38.0
City126,5761093,107.7,26.7,526.8,47.0,41.8,24.6,36.2,63.1,27.5,32.0,170.3,50.8,49.6
City127,67053,176.2,54.8,643.2,68.6,53.8,50.5,49.3,72.0,40.9,43.3,220.0,66.1,64.3
City128,121440,240.5,12.1,837.2,15.0,27.8,9.0,22.8,46.2,12.3,7.2,163.3,35.4,50.4
City129,308510,292.8,62.2,602.0,49.1,60.7,37.7,56.2,69.6,39.3,38.2,216.7,52.1,99.6
City130,132605,275.2,36.2,696.4,38.3,53.6,39.5,54.6,74.2,48.5,50.4,206.0,65.8,95.7
City131,30609,412.9,22.9,708.0,29.2,19.9,20.6,24.2,56.5,26.6,40.0,82.8,3.4,70.4
City132,295371,673.6,53.8,417.3,57.9,67.1,62.0,66.0,69.6,60.7,43.7,379.4,64.8,64.5
City133,60643,392.0,24.2,511.0,22.0,42.8,13.2,19.2,50.9,11.1,8.2,40.6,13.4,74.3
City134,520752,421.7,26.9,572.3,36.9,48.7,34.8,36.2,50.3,35.0,23.3,183.2,17.1,52.0
City135,74072,50.0,26.1,745.2,32.4,47.4,26.8,20.8,55.9,25.3,47.5,84.9,27.8,46.7
City136,2349958,259.9,23.2,653.1,37.7,43.8,34.9,31.8,55.7,44.8,41.8,126.8,26.2,46.4
City137,89630,435.0,40.1,441.1,30.7,30.1,31.4,26.3,64.0,21.3,22.1,162.0,42.9,86.7
City138,170947,586.8,51.3,427.7,56.5,47.8,55.2,70.4,68.0,49.0,44.4,236.8,56.9,91.7
City139,838126,106.6,43.5,480.9,54.6,53.4,47.0,67.2,78.9,51.5,62.0,328.9,32.3,67.6
City140,47896,111.0,80.1,452.9,62.1,51.0,60.2,73.5,75.7,64.7,56.9,285.2,69.3,73.6
City141,368960,122.9,40.0,827.6,37.8,42.0,28.3,27.4,48.5,24.3,41.5,86.0,17.8,57.6
City142,1672783,465.8,42.4,582.4,48.0,26.3,26.3,34.4,74.1,41.6,43.6,173.8,60.4,43.4
City143,28269,846.1,2.1,661.5,12.6,12.4,18.1,18.7,51.8,21.1,5.7,116.0,18.4,30.0
City144,347488,150.1,11.3,620.3,40.5,42.6,19.3,17.0,59.1,12.2,24.4,29.8,46.2,56.3
City145,386093,727.5,33.8,556.4,49.5,46.5,37.1,43.6,64.9,38.6,27.0,249.1,40.5,68.4
City146,801749,283.8,66.1,264.0,65.1,63.0,68.8,61.5,74.0,76.4,61.7,321.6,82.7,90.5
City147,47489,210.8,31.4,580.5,25.3,48.5,38.3,33.5,51.3,15.4,31.9,106.5,22.7,72.9
City148,42250,189.9,78.6,415.4,77.4,67.2,64.3,74.3,84.6,67.4,68.3,334.9,55.6,69.6
City149,557221,599.4,17.5,598.3,17.1,61.6,19.7,22.0,54.7,13.6,13.8,124.7,45.1,39.2
City150,406678,361.7,25.1,520.5,35.3,64.0,36.1,28.9,61.8,31.3,38.6,228.8,52.8,41.1
City151,381051,3755.6,27.9,760.5,55.5,29.4,24.6,31.9,64.7,32.0,38.3,139.0,22.5,59.2
City152,435838,88.0,31.6,599.9,40.4,55.8,29.1,42.1,69.2,36.2,24.4,267.0,54.2,67.8
City153,103566,455.6,60.2,534.5,57.9,39.8,57.2,41.8,69.9,41.0,65.8,235.6,35.2,100.3
City154,371444,129.7,30.1,671.2,30.9,30.7,31.6,30.4,50.2,30.8,38.6,113.7,40.0,53.0
City155,404457,86.2,83.2,232.6,80.2,80.4,78.0,86.3,89.9,83.8,83.5,410.1,79.1,98.5
City156,98706,241.5,61.6,593.3,73.0,51.3,45.9,46.3,69.6,48.3,57.3,286.9,58.3,59.8
City157,3656746,288.5,25.7,614.7,23.9,32.6,23.5,30.4,57.9,32.0,17.8,53.2,15.4,61.3
City158,520927,8117.7,11.7,562.1,22.6,20.6,10.2,20.1,48.4,24.3,21.7,76.9,42.0,50.1
City159,50623,196.2,40.5,540.3,57.3,50.5,44.0,41.1,60.7,48.1,35.1,171.7,43.3,51.2
City160,672780,63.0,15.2,653.7,18.1,12.9,4.5,5.8,49.2,18.4,31.1,142.2,8.3,60.8
City161,68558,339.5,64.7,368.4,57.6,66.3,61.9,75.2,72.6,64.0,73.3,367.2,77.4,91.9
City162,807677,50.0,51.9,471.0,34.3,65.5,50.5,50.3,73.9,47.2,58.4,289.4,43.5,71.7
City163,1358693,219.1,48.7,571.6,53.1,39.9,46.5,44.3,71.3,48.6,39.6,196.3,45.5,51.8
City164,85054,249.4,27.3,578.8,22.6,51.4,37.4,27.2,59.7,21.8,34.3,188.2,50.6,57.1
City165,1033773,634.9,33.1,481.7,35.9,47.1,46.7,34.7,54.5,31.8,40.0,224.5,57.2,86.3
City166,478252,787.1,28.2,557.7,45.1,44.8,34.6,50.3,63.5,35.4,22.4,172.5,59.8,74.0
City167,848210,133.7,70.7,439.0,78.1,69.0,60.4,72.4,64.3,50.1,47.5,319.1,63.2,75.7
City168,3819042,204.2,27.4,710.1,33.4,47.2,25.6,32.5,57.9,36.7,26.0,220.3,24.8,66.0
City169,190318,97.6,27.9,651.6,20.1,34.7,17.4,15.0,64.7,14.5,14.6,69.5,8.5,69.2
City170,93411,63.2,18.6,768.9,31.5,35.3,31.3,32.1,52.1,21.5,26.7,131.5,30.5,77.3
City171,77240,354.9,43.9,569.0,51.2,52.4,36.2,45.2,56.7,43.5,27.5,180.3,52.9,53.5
City172,85636,53.1,36.2,620.6,36.4,53.1,43.0,29.4,62.7,36.4,32.9,176.1,20.7,57.2
City173,240880,148.8,14.7,631.9,21.2,37.8,37.7,13.8,69.3,33.3,26.8,161.3,40.3,61.0
City174,432619,74.1,17.9,726.7,28.1,30.6,31.4,31.4,56.7,23.7,21.4,135.0,34.0,66.1
City175,395286,473.2,39.1,528.5,33.6,39.1,43.8,40.2,71.1,34.3,29.2,232.5,46.0,71.2
City176,854316,2125.4,28.6,691.0,40.7,33.4,27.6,28.7,60.3,40.3,26.9,185.1,38.4,69.4
City177,273266,51.3,34.9,844.3,34.6,34.7,30.3,19.7,62.3,32.9,25.2,236.0,38.9,71.1
City178,2053277,50.0,55.9,510.3,43.4,40.0,45.1,50.5,63.1,38.1,62.0,276.1,39.4,69.1
City179,185253,210.6,19.8,703.5,33.8,47.0,33.4,30.4,63.4,32.6,15.3,160.9,14.8,61.9
City180,10000000,249.3,53.4,393.4,60.8,49.0,53.5,59.0,73.2,65.9,51.5,264.0,48.5,73.4
City181,644309,318.1,53.0,687.1,45.1,67.9,49.5,62.6,63.1,60.2,70.4,257.5,56.1,59.9
City182,80819,143.2,42.0,406.6,45.3,52.3,34.1,42.5,68.7,34.6,49.6,241.9,59.0,78.7
City183,59919,192.3,11.7,562.9,48.3,23.7,25.8,19.9,58.7,20.8,32.4,68.3,15.3,60.5
City184,527266,380.3,39.0,593.9,49.9,55.1,35.8,34.9,63.6,23.4,46.9,230.2,38.6,84.2
City185,196251,852.8,48.9,770.1,49.9,63.5,39.6,31.7,61.4,36.7,30.2,247.6,34.5,77.2
City186,729125,50.0,49.1,526.4,50.7,55.0,43.0,44.7,78.5,48.9,38.1,202.6,40.8,48.0
City187,520493,157.2,19.1,532.3,23.1,23.1,22.0,16.4,51.4,19.2,19.8,73.6,18.9,48.2
City188,242326,316.3,47.4,438.8,44.5,63.3,50.9,55.7,73.4,52.1,49.8,264.3,56.6,85.5
City189,82001,81.3,61.9,458.5,69.3,71.2,72.6,67.6,66.5,56.6,65.8,374.0,63.3,89.5
City190,32183,1953.6,17.3,632.7,15.7,25.0,23.8,13.6,49.7,21.0,11.6,123.2,4.8,36.3
City191,143613,114.1,30.5,609.2,23.1,32.5,16.1,15.8,57.8,10.2,33.6,146.6,18.9,55.9
City192,889983,232.9,31.8,673.1,44.8,37.4,30.9,34.0,67.6,20.9,17.8,235.0,39.7,43.9
City193,362120,476.9,21.4,525.4,44.5,53.9,13.9,14.4,53.9,8.8,37.1,87.6,39.7,78.6
City194,46909,120.4,14.8,594.9,13.8,29.1,19.4,11.1,45.3,15.9,8.2,75.5,16.9,47.1
City195,341961,50.0,69.4,491.1,47.1,48.4,60.2,66.6,75.5,66.8,56.3,352.0,56.3,67.6
City196,460212,146.3,9.4,524.5,27.1,18.9,22.9,11.7,64.2,20.2,33.7,108.2,13.6,38.3
City197,77854,841.6,63.0,306.7,75.9,56.7,79.0,70.4,77.7,57.4,56.4,367.2,54.7,63.7
City198,332772,163.3,16.4,788.6,28.4,35.0,12.4,9.7,50.2,18.0,8.8,60.7,11.0,60.5
City199,291120,88.6,53.9,468.5,61.4,44.4,50.5,56.8,66.5,48.1,43.6,255.4,47.2,52.5
City200,54167,743.1,16.1,619.0,22.6,24.0,12.2,21.3,45.1,14.9,4.3,144.2,6.7,60.9
City201,442812,164.5,25.1,667.0,29.4,65.2,47.1,39.3,55.9,35.0,40.3,186.7,26.4,90.9
City202,588362,132.7,40.6,368.9,62.6,77.5,57.6,41.3,72.2,38.6,40.0,279.4,42.8,87.9
City203,1222332,292.8,34.8,504.2,33.9,45.0,33.6,25.5,61.8,22.1,44.6,138.3,31.0,63.5
City204,1173290,617.0,16.8,520.5,26.0,26.6,20.4,24.8,47.8,38.5,21.9,134.9,38.1,36.8
City205,38997,4264.4,25.2,643.3,34.6,39.8,7.7,18.7,64.1,19.4,13.8,99.0,34.4,73.3
City206,72189,660.3,26.1,756.4,25.4,41.3,31.6,34.7,62.1,18.3,32.0,195.4,17.3,59.5
City207,551859,984.2,75.5,323.1,63.2,56.1,62.1,76.8,71.9,86.4,58.4,304.8,71.9,72.2
City208,550895,133.3,73.5,308.2,69.3,60.8,69.8,68.9,71.4,84.3,71.1,360.8,71.8,80.6
City209,551869,71.4,16.8,571.9,35.5,49.5,21.8,22.2,61.9,11.8,24.8,80.5,30.0,72.8
City210,10000000,263.7,28.2,589.9,46.7,60.7,31.6,27.3,63.8,26.7,37.5,115.3,29.4,73.5
City211,596745,278.3,38.6,585.4,30.9,44.2,37.6,38.3,51.3,40.4,23.8,206.6,30.0,45.7
City212,1315584,67.1,40.6,465.7,34.5,35.3,37.9,47.4,74.5,58.9,56.9,308.3,35.9,67.4
City213,1020295,198.3,54.2,580.4,59.5,68.9,48.7,58.2,74.0,62.0,62.8,277.3,48.7,76.8
City214,667936,395.1,74.7,353.1,69.8,57.1,75.7,77.2,83.8,83.8,79.4,353.1,56.6,77.5
City215,172581,377.1,35.2,473.9,34.5,57.1,34.8,38.3,59.0,26.5,25.2,179.9,32.5,75.8
City216,776503,448.2,59.4,610.0,53.2,65.5,57.6,49.9,79.4,68.1,46.1,306.6,49.8,72.2
City217,90948,346.9,36.3,630.5,36.8,38.4,50.6,50.3,64.9,40.9,46.6,221.3,39.5,77.5
City218,192616,133.2,42.2,523.8,50.8,51.6,34.0,49.7,57.0,35.9,31.5,256.7,26.1,73.8
City219,136010,132.1,18.7,553.5,29.2,20.7,27.6,22.4,59.1,19.8,13.0,90.2,34.9,51.0
City220,300927,58.0,40.0,647.4,54.6,50.0,32.1,40.7,78.8,48.5,26.1,165.2,24.8,50.5
City221,6855227,2083.3,50.8,540.4,39.1,76.8,55.2,45.7,80.8,63.9,64.8,316.8,74.1,99.3
City222,19649,248.7,57.0,621.4,47.6,40.3,50.0,48.1,61.5,60.3,53.9,288.3,51.8,59.1
City223,701351,186.8,65.6,464.9,38.8,71.2,41.6,53.8,76.0,38.2,45.0,246.3,59.3,71.4
City224,28062,80.3,46.8,397.9,55.3,56.5,49.1,53.1,66.6,39.9,43.2,287.7,45.5,73.3
City225,138592,8289.9,32.2,458.0,40.1,71.7,33.9,36.7,55.2,51.4,21.9,126.5,38.6,77.1
City226,1232469,67.5,60.5,397.8,59.5,57.2,55.8,63.7,64.7,52.0,72.0,322.7,62.2,75.8
City227,293605,146.3,33.8,629.8,18.9,42.0,26.7,21.4,59.1,32.8,20.9,197.2,34.4,48.5
City228,59347,403.0,31.3,493.4,42.1,30.8,41.1,34.7,71.3,32.7,43.0,164.5,35.9,62.4
City229,98575,502.8,37.9,624.1,53.7,58.4,33.0,35.2,60.2,50.2,32.2,179.3,26.0,48.3
City230,694839,772.4,40.5,504.5,46.9,50.1,38.5,44.8,60.7,25.9,26.9,209.4,61.6,71.4
City231,96518,2141.2,30.6,574.3,45.6,40.2,34.4,36.4,80.7,43.6,36.7,225.6,32.1,52.2
City232,363321,449.2,23.8,674.3,19.9,57.5,20.8,27.7,50.4,15.6,31.6,170.5,48.9,46.7
City233,286015,68.9,31.1,526.9,52.9,45.3,33.2,30.2,72.4,46.0,59.9,187.9,46.8,70.5
City234,107770,179.8,46.0,464.4,40.7,39.3,51.6,36.9,59.7,60.0,35.5,220.7,51.7,58.0
City235,5397906,354.0,29.5,665.1,26.0,32.5,17.6,15.7,62.4,33.0,32.2,81.1,52.7,63.3
City236,651795,2927.4,44.2,547.7,33.4,36.6,32.6,38.1,61.0,43.2,39.8,158.9,50.5,72.1
